Time series;Closing price;MA;Trend;Trading signal
1;376.28;376.28;no;0.43491124260354325
2;376.72;376.5;no;0.33465346534653906
3;373.34;375.44666666666666;no;0.0
4;378.39;376.1825;no;0.33333333333332965
5;379.25;376.796;no;0.5
6;376.67;376.775;no;0.5
7;365.2;375.1214285714285;no;0.0
8;374.95;375.1;no;0.0
9;375.07;375.0966666666666;no;0.4265905383360517
10;376.87;375.274;no;0.5
11;364.61;374.30454545454535;no;0.5
12;350.49;372.32;no;0.5
13;348.13;370.45923076923066;no;0.0
14;348.98;368.92499999999984;no;0.0
15;354.48;367.9619999999999;down;0.5
16;351.45;366.30666666666656;down;0.5
17;350.17;364.53666666666663;down;0.5
18;350.17;362.99199999999985;down;0.5
19;330.02;359.7673333333332;down;0.5
20;321.1;355.8906666666665;down;0.5
21;312.17;351.5906666666665;down;0.0
22;318.0;348.44399999999985;down;0.0
23;329.99;345.4466666666665;down;0.46404341926730175
24;323.15;341.9853333333332;down;0.0
25;330.52;338.8953333333332;down;0.31385767790262104
26;335.49;336.95399999999984;down;0.5
27;322.14;335.0639999999999;down;0.11966927763272402
28;319.39;333.1479999999999;down;0.11674449633088718
29;330.88;331.94133333333326;down;0.5
30;315.89;329.36866666666657;down;0.3
31;316.63;327.04733333333326;down;0.5
32;314.78;324.68799999999993;down;0.1942544459644305
33;311.94;322.13933333333324;down;0.0
34;319.25;321.4213333333332;down;0.5
35;316.31;321.1019999999998;down;0.49672131147541004
36;316.51;321.3913333333332;no;0.5
37;286.01;319.25866666666656;no;0.5
38;264.62;314.9006666666665;no;0.0
39;276.8;311.81066666666663;no;nan
40;276.8;308.22933333333333;down;nan
41;276.8;304.31666666666666;down;nan
42;276.8;301.29399999999987;down;nan
43;276.8;298.45466666666664;down;nan
44;276.8;294.84933333333333;down;0.5
45;276.8;292.2433333333332;down;0.5
46;268.16;289.0119999999999;down;0.5
47;221.0;282.75999999999993;down;0.5
48;162.0;272.7639999999999;down;0.0
49;208.81;265.40133333333324;down;0.5
50;206.6;258.08733333333333;down;0.28710247349823337
51;200.1;250.32666666666657;down;0.0
52;211.42;245.35399999999993;down;0.029310344827584135
53;216.88;242.17133333333325;down;0.16561964591661868
54;211.08;237.78999999999994;down;0.0
55;228.59;234.57599999999994;down;0.0
56;233.0;231.65599999999992;no;0.0
57;233.03;228.73799999999991;no;0.0
58;249.99;226.95066666666656;no;0.0
59;253.09;225.36999999999992;no;0.0
60;269.5;224.8833333333332;no;0.5
61;262.99;224.53866666666653;no;0.5
62;236.2;225.55199999999985;no;0.5
63;234.75;230.40199999999987;no;0.5
64;232.6;231.98799999999986;no;0.5
65;217.98;232.74666666666653;no;0.06862321968062106
66;214.8;233.72666666666652;no;0.0
67;237.97;235.49666666666653;no;0.5
68;227.35;236.19466666666648;no;0.5
69;227.0;237.25599999999986;no;0.5
70;217.0;236.4833333333332;no;0.0
71;222.88;235.80866666666648;no;0.0
72;228.61;235.51399999999984;no;0.5
73;224.19;233.7939999999999;down;0.5
74;220.72;231.63599999999985;down;0.43715846994535745
75;220.95;228.3993333333332;down;0.2739520958083806
76;219.12;225.47466666666645;down;0.0
77;222.46;224.55866666666645;down;0.0
78;236.86;224.69933333333321;no;0.059648388447049484
79;257.9;226.38599999999985;no;0.5
80;234.01;227.4546666666665;no;0.0
81;236.55;228.9046666666665;no;0.04143947655398135
82;244.96;229.37066666666644;up;1.0
83;235.79;229.9333333333332;up;0.5
84;242.67;230.9779999999999;up;0.5
85;246.1;232.91799999999984;up;1.0
86;245.87;234.45066666666648;up;1.0
87;236.68;234.9886666666665;up;0.5
88;238.92;235.9706666666665;up;0.7721893491124228
89;239.69;237.23533333333322;up;1.0
90;238.0;238.37199999999984;no;0.03973105134474359
91;236.7;239.54399999999984;no;0.0
92;253.06;241.58399999999986;no;0.014134275618376706
93;252.98;242.65866666666648;no;0.0
94;255.81;242.51933333333318;no;0.0
95;274.0;245.18533333333318;no;0.22737186477644541
96;279.0;248.01533333333316;no;0.5
97;269.83;249.67333333333312;no;0.0
98;273.8;252.20733333333317;up;0.6158798283261855
99;273.26;254.24666666666644;up;0.5
100;275.59;256.2126666666665;up;0.5289017341040457
101;274.89;258.1473333333332;up;0.5
102;287.0;261.50199999999984;up;0.5
103;290.24;264.92333333333323;up;0.5
104;295.11;268.6179999999998;up;0.9798387096774199
105;295.56;272.4553333333332;up;1.0
106;284.4;275.6353333333331;up;0.7297297297297289
107;282.7;277.6113333333331;up;0.5
108;286.4;279.8393333333331;up;0.6851145038167934
109;289.7;282.09866666666636;up;1.0
110;284.46;282.7959999999997;up;1.0
111;257.29;281.3486666666664;no;0.0
112;262.01;280.827333333333;no;0.48253275109170624
113;262.09;280.0466666666664;no;0.11939520333680759
114;259.8;279.149333333333;no;0.0
115;269.39;278.7359999999997;down;0.5
116;265.84;278.1326666666664;down;0.5
117;246.93;275.4613333333331;down;0.0
118;247.68;272.6239999999998;down;0.0
119;249.46;269.58066666666645;down;0.16232227488151718
120;248.09;266.4159999999997;down;0.29150197628458513
121;252.31;264.2766666666664;down;0.5
122;242.19;261.5759999999998;down;0.0
123;247.69;258.995333333333;down;0.5
124;243.98;255.9473333333331;down;0.0
125;245.98;253.38199999999972;down;0.0
126;253.16;253.10666666666646;no;0.0
127;253.79;252.55866666666645;no;0.024113475177305166
128;253.45;251.9826666666664;no;0.0
129;260.5;252.02933333333303;no;0.5
130;255.83;251.125333333333;no;0.5
131;254.45;250.3659999999997;no;0.5
132;244.09;250.17666666666642;no;0.5
133;243.53;249.89999999999972;no;0.5
134;234.77;248.92066666666642;no;0.0
135;237.34;248.20399999999972;no;0.5
136;236.3;247.13666666666646;down;0.5
137;222.87;245.84866666666642;down;0.5
